Carrier,Route_Code,Vessel_Name,Vessel_Capacity__in_MT_,Vessel_Ramp_Height__in_meters_,Voyage_Number,Port_Name,port_code,Date_of_Arrival__ETA_,Date_of_Departure__ETD_
EUKOR,EU-AS,MORNING CALYPSO,"","",CLP084,Toyohashi,JP THS,17/06/2021,18/06/2021
EUKOR,EU-AS,MORNING LADY,"","",LAD099,Hong Kong,HK HKG,17/06/2021,18/06/2021
WWO,AS-NA,TAMESIS,"","",AF121-TAM,Hitachinaka,JP HIC,17/06/2021,18/06/2021
WWO,SA-NA,ARC RESOLVE,"","",BR111-ARR,Callao,PE CLL,17/06/2021,17/06/2021
WWO,NA-SA,ARC RESOLVE,"","",RB111-ARR,Callao,PE CLL,17/06/2021,17/06/2021
EUKOR,EU-AS,ONYX ARROW,"","",ONA013,Masan,KR MAS,17/06/2021,18/06/2021
WWO,EU-NA,TBN 6,"","",EA120-TB6,Brunswick,US BCK,17/06/2021,17/06/2021
WWO,EU-NA,TOREADOR,"","",ED110-TOD,Port Hueneme,US NTD,17/06/2021,17/06/2021
WWO,EU-NA,TOREADOR,"","",ND110-TOD,Port Hueneme,US NTD,17/06/2021,17/06/2021
WWO,AS-NA,ANIARA,"","",AF117-ARA,Savannah,US SAV,17/06/2021,17/06/2021
WWO,AS-NA,OBERON,"","",AF118-OBE,Manzanillo,CU MZO,17/06/2021,17/06/2021
WWO,EU-NA,PATRIOT,"","",EB107-PTT,Antwerpen,BE ANR,17/06/2021,17/06/2021
WWO,EU-NA,TBN 7,"","",EC104-TB7,Manzanillo,CU MZO,17/06/2021,18/06/2021
WWO,TC-OUT,MORNING COURIER,"","",OE108-MCU,Ulsan,KR USN,17/06/2021,17/06/2021
WWO,AS-NA,TAMESIS,"","",AF121-TAM,Yokohama,JP YOK,16/06/2021,17/06/2021
WWO,EU-OC,TAMESIS,"","",EF107-TAM,Yokohama,JP YOK,16/06/2021,17/06/2021
WWO,AS-NA,TYSLA,"","",AF115-TYS,Zeebrugge,BE ZEE,16/06/2021,16/06/2021
WWO,NA-EU,TYSLA,"","",NF115-TYS,Zeebrugge,BE ZEE,16/06/2021,16/06/2021
WWO,AS-OC,TYSLA,"","",PF115-TYS,Zeebrugge,BE ZEE,16/06/2021,16/06/2021
WWO,EU-NA,ATLANTIC SKY,"","",7021-ASY,New York,US NYC,16/06/2021,16/06/2021
WWO,NA-EU,ATLANTIC SEA,"","",7021-ATE,Halifax,CA HAL,16/06/2021,16/06/2021
WWO,NA-EU,ATLANTIC SKY,"","",7121-ASY,New York,US NYC,16/06/2021,16/06/2021
WWO,AS-NA,ANIARA,"","",AF117-ARA,Brunswick,US BCK,16/06/2021,16/06/2021
